"","Participant.ID","Completed","Pre.Post","Score","Difference","Provider","Service","Earlier.post.assessments.not.included.in.the.calculation.of.difference.scores"
"1","126901","06/07/2023 10:09:01 (MST)","Pre",54.17,NA,"Turn","WBLE",0
"2","123380","07/12/2023 14:51:35 (MST)","Pre",58.33,NA,"Turn","CSS",0
"3","121603","09/27/2022 07:26:26 (MST)","Pre",48.15,NA,"LSI","JS",0
"4","123166","12/15/2022 07:48:00 (MST)","Pre",33.33,NA,"LSI","JS",0
"5","124378","09/24/2023 18:03:57 (MST)","Pre",36.36,NA,"LSI","FL",0
"6","124882","05/22/2024 10:14:01 (MST)","Post",95.83,25,"LSI","WBLE",0
"7","116645","05/26/2022 05:10:41 (MST)","Post",71.43,26.19,"LSI","CPSO",0
"8","131486","02/05/2024 14:05:07 (MST)","Pre",56.67,NA,"UVU","ISA",0
"9","123654","03/08/2023 23:45:19 (MST)","Post",70,0,"LSI","ISA",0
"10","114483","01/11/2024 10:21:06 (MST)","Post",90,33.33,"LSI","ISA",0
"11","126564","05/15/2024 12:51:31 (MST)","Post",100,11.11,"Turn","EMP",0
"12","122696","07/10/2023 10:07:03 (MST)","Post",60.61,18.19,"LSI","FL",0
"13","89069","05/16/2022 04:34:00 (MST)","Pre",100,NA,"Turn","ILOM",0
"14","124782","10/07/2023 09:58:30 (MST)","Post",95.24,26.19,"LSI","CPSO",0
"15","121681","02/13/2024 13:19:37 (MST)","Post",82.22,-13.34,"LSI","JOBEX",0
"16","123966","03/15/2023 18:37:13 (MST)","Pre",70.37,NA,"Turn","EMP",0
"17","103262","07/07/2023 07:49:53 (MST)","Post",63.64,9.09,"RTI","FL",0
"18","111100","05/01/2024 14:20:54 (MST)","Post",91.67,33.34,"LSI","WBLE",0
"19","106148","05/12/2022 03:36:28 (MST)","Post",62.22,11.11,"LSI","JOBEX",0
"20","116487","06/12/2023 11:45:26 (MST)","Post",55.56,3.71,"NSSD","EMP",1
"21","124628","01/05/2024 16:13:47 (MST)","Pre",64.29,NA,"LSI","ILOM",0
"22","121345","10/13/2022 05:20:04 (MST)","Post",70,0,"LSI","ISA",0
"23","116476","03/09/2022 07:37:52 (MST)","Post",48.15,-3.7,"LSI","JS",0
"24","128298","04/22/2024 13:28:59 (MST)","Pre",83.33,NA,"SUU","ISA",0
"25","124072","03/28/2023 09:07:16 (MST)","Pre",82.22,NA,"SUU","JOBEX",0
"26","114315","03/13/2024 13:46:26 (MST)","Pre",66.67,NA,"LSI","ISA",0
"27","116284","06/05/2022 03:44:00 (MST)","Pre",62.5,NA,"LSI","CSS",0
"28","120438","03/06/2023 15:51:09 (MST)","Pre",79.17,NA,"Turn","WBLE",0
"29","122762","11/21/2022 02:30:59 (MST)","Pre",51.85,NA,"LSI","JS",0
"30","128413","09/21/2023 10:50:49 (MST)","Pre",52.38,NA,"LSI","ILOM",0
"31","124885","05/23/2024 13:11:06 (MST)","Post",90.91,57.58,"LSI","FL",0
"32","133133","03/29/2024 14:31:36 (MST)","Pre",56.67,NA,"LSI","ISA",0
"33","128410","05/22/2024 20:59:59 (MST)","Post",50,-3.33,"LSI","ISA",0
"34","132387","05/30/2024 13:29:01 (MST)","Pre",10,NA,"CCC","ISA",0
"35","130261","11/22/2023 08:51:40 (MST)","Pre",93.33,NA,"LSI","ISA",0
"36","115654","02/19/2022 04:51:16 (MST)","Pre",69.05,NA,"Turn","CPSO",0
"37","129452","05/22/2024 20:41:46 (MST)","Post",56.67,-16.66,"LSI","ISA",0
"38","104139","08/29/2022 00:24:00 (MST)","Post",74.07,33.33,"Turn","EMP",0
"39","120230","08/05/2022 01:19:11 (MST)","Post",73.33,40,"LSI","ISA",0
"40","118889","05/23/2022 05:20:16 (MST)","Post",80,24.44,"LSI","JOBEX",0
"41","114004","04/25/2022 01:55:44 (MST)","Post",78.79,36.37,"LSI","FL",0
"42","117989","04/25/2022 22:48:00 (MST)","Pre",41.67,NA,"LSI","CSS",0
"43","122461","03/23/2023 11:17:12 (MST)","Post",69.05,28.57,"Turn","CPSO",0
"44","116231","01/31/2022 03:24:47 (MST)","Pre",53.33,NA,"USU","ISA",0
"45","123830","06/08/2023 12:12:27 (MST)","Post",61.9,26.19,"LSI","CPSO",0
"46","110430","07/10/2023 16:19:19 (MST)","Post",57.78,-13.33,"RTI","JOBEX",0
"47","119995","08/18/2022 03:44:24 (MST)","Pre",66.67,NA,"LSI","FL",0
"48","116467","04/18/2022 05:51:32 (MST)","Pre",57.58,NA,"NSSD","FL",0
"49","121702","10/04/2022 03:31:39 (MST)","Pre",59.26,NA,"LSI","JS",0
"50","115911","04/21/2022 11:38:48 (MST)","Post",48.15,14.82,"LSI","JS",0
"51","125377","08/10/2023 13:24:23 (MST)","Post",76.67,30,"LSI","ISA",0
"52","124491","04/07/2023 16:20:41 (MST)","Pre",62.22,NA,"Turn","JOBEX",0
"53","119519","02/24/2023 13:49:44 (MST)","Pre",62.5,NA,"Turn","CSS",0
"54","127510","08/01/2023 21:09:33 (MST)","Pre",37.04,NA,"LSI","JS",0
"55","119130","08/15/2022 07:13:16 (MST)","Post",94.44,14.29,"LSI","QWEX",0
"56","109049","12/12/2022 20:23:00 (MST)","Post",51.85,-11.11,"Turn","EMP",0
"57","121042","09/01/2022 05:47:36 (MST)","Post",53.33,33.33,"SPA","ISA",0
"58","129437","10/16/2023 15:29:20 (MST)","Pre",40.74,NA,"LSI","JS",0
"59","125299","02/05/2024 15:13:55 (MST)","Post",62.5,45.83,"CCC","CSS",0
"60","122203","04/15/2024 07:53:12 (MST)","Post",86.67,-4.44,"LSI","JOBEX",0
"61","112579","03/10/2022 03:36:44 (MST)","Pre",74.07,NA,"SUU","JS",0
"62","116681","05/26/2022 13:27:45 (MST)","Post",75.76,9.09,"LSI","FL",0
"63","130174","07/14/2022 06:26:55 (MST)","Pre",45.24,NA,"LSI","CPSO",0
"64","105450","01/31/2023 13:48:32 (MST)","Pre",100,NA,"Turn","CSS",0
"65","109815","05/29/2024 14:19:11 (MST)","Pre",55.56,NA,"SPA","JS",0
"66","118891","04/06/2022 02:43:41 (MST)","Pre",53.33,NA,"LSI","ISA",0
"67","128408","04/03/2024 14:01:28 (MST)","Post",100,0,"LSI","ILOM",0
"68","118289","03/23/2022 04:54:51 (MST)","Pre",53.33,NA,"LSI","JOBEX",0
"69","133519","05/06/2024 11:01:10 (MST)","Pre",33.33,NA,"LSI","JS",0
"70","122602","02/09/2023 21:05:47 (MST)","Pre",81.82,NA,"LSI","FL",0
"71","118775","06/03/2022 06:52:25 (MST)","Pre",47.62,NA,"LSI","CPSO",0
"72","131974","02/15/2024 11:37:27 (MST)","Pre",70,NA,"LSI","ISA",0
"73","116607","04/01/2024 09:20:54 (MST)","Post",59.26,18.52,"LSI","EMP",0
"74","126906","03/26/2024 17:32:01 (MST)","Post",73.33,6.66,"LSI","ISA",0
"75","116180","03/14/2022 23:40:00 (MST)","Post",54.17,-12.5,"SPA","WBLE",0
"76","126937","07/12/2023 13:36:17 (MST)","Pre",42.86,NA,"LSI","CPSO",0
"77","132914","03/29/2024 12:32:43 (MST)","Pre",100,NA,"Turn","ILOM",0
"78","105450","05/03/2023 11:10:40 (MST)","Post",94.44,-7.41,"Turn","QWEX",0
"79","126240","07/06/2023 13:08:58 (MST)","Post",55.56,11.12,"LSI","JS",0
"80","116488","06/12/2023 11:33:29 (MST)","Post",30.95,-2.38,"NSSD","CPSO",0
"81","118708","05/23/2022 19:36:00 (MST)","Post",62.96,7.4,"LSI","EMP",0
"82","119885","06/02/2022 04:48:43 (MST)","Pre",30,NA,"LSI","ISA",0
"83","121959","02/01/2023 09:14:22 (MST)","Post",100,92.59,"LSI","JS",0
"84","114214","07/26/2023 08:57:36 (MST)","Post",68.89,2.22,"LSI","JOBEX",0
"85","121396","10/05/2022 08:25:07 (MST)","Pre",69.7,NA,"LSI","FL",0
"86","118076","03/18/2022 02:00:11 (MST)","Pre",15.15,NA,"LSI","FL",0
"87","108594","05/19/2022 07:13:56 (MST)","Pre",88.89,NA,"NSSD","JS",0
"88","119797","09/15/2022 10:18:00 (MST)","Pre",8.33,NA,"LSI","CSS",0
"89","115911","02/01/2022 05:44:12 (MST)","Pre",36.67,NA,"LSI","ISA",0
"90","118893","07/13/2022 00:08:00 (MST)","Pre",25,NA,"LSI","CSS",0
"91","121548","01/30/2024 11:03:21 (MST)","Pre",78.79,NA,"CCC","FL",0
"92","120004","06/18/2022 14:47:23 (MST)","Pre",86.67,NA,"USU","ISA",0
"93","114427","02/21/2022 04:08:02 (MST)","Post",64.44,15.55,"LSI","JOBEX",0
"94","123607","05/17/2023 14:36:30 (MST)","Pre",74.07,NA,"LSI","EMP",0
"95","123226","01/30/2023 19:08:50 (MST)","Pre",62.5,NA,"LSI","CSS",0
"96","128957","04/22/2024 13:36:21 (MST)","Pre",87.88,NA,"SUU","FL",0
"97","107998","01/03/2023 14:32:24 (MST)","Post",61.9,33.33,"LSI","ILOM",0
"98","116184","05/04/2022 07:29:29 (MST)","Post",76.67,0,"LSI","ISA",0
"99","116172","04/26/2022 08:15:22 (MST)","Post",63.89,14.29,"SPA","QWEX",1
"100","92064","11/12/2021 07:37:36 (MST)","Pre",55.56,NA,"SUU","JOBEX",0
"101","127941","02/24/2024 21:56:15 (MST)","Pre",37.04,NA,"LSI","EMP",0
"102","125284","04/04/2023 13:40:28 (MST)","Pre",70,NA,"LSI","ISA",0
"103","118779","09/29/2022 09:12:00 (MST)","Post",91.67,16.67,"LSI","WBLE",0
"104","121858","11/29/2022 06:52:00 (MST)","Pre",70.83,NA,"LSI","WBLE",0
"105","129134","05/28/2024 13:39:22 (MST)","Post",50,3.33,"LSI","ISA",0
"106","133506","04/17/2024 13:48:40 (MST)","Pre",63.33,NA,"CCC","ISA",0
